nohup: ignoring input
INFO 2026-02-24 09:11:25,947 autoreload 56866 124455267594368 Watching for file changes with StatReloader
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
DEBUG 2026-02-24 09:17:45,220 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56706]
DEBUG 2026-02-24 09:17:45,220 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56706]
DEBUG 2026-02-24 09:17:45,225 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56706]
DEBUG 2026-02-24 09:17:45,225 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56706]
INFO 2026-02-24 09:17:45,226 runserver 56866 124455196194496 HTTP GET /api/v1/messaging/threads/ 200 [0.58, 127.0.0.1:56706]
DEBUG 2026-02-24 09:17:45,254 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:45,254 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:45,259 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:45,259 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:45,260 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:45,260 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56684]
INFO 2026-02-24 09:17:45,267 runserver 56866 124455196194496 HTTP GET /api/v1/assets/?page_size=8 200 [0.71, 127.0.0.1:56684]
DEBUG 2026-02-24 09:17:45,289 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,289 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,304 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56718]
DEBUG 2026-02-24 09:17:45,304 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56718]
DEBUG 2026-02-24 09:17:45,306 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56718]
DEBUG 2026-02-24 09:17:45,306 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56718]
DEBUG 2026-02-24 09:17:45,309 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56718]
DEBUG 2026-02-24 09:17:45,309 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56718]
INFO 2026-02-24 09:17:45,312 runserver 56866 124455196194496 HTTP GET /api/v1/messaging/threads/unread_count/ 200 [0.61, 127.0.0.1:56718]
DEBUG 2026-02-24 09:17:45,567 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,567 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,573 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,573 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,576 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56736]
DEBUG 2026-02-24 09:17:45,576 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56736]
INFO 2026-02-24 09:17:45,585 runserver 56866 124455196194496 HTTP GET /api/v1/notifications/ 200 [0.30, 127.0.0.1:56736]
DEBUG 2026-02-24 09:17:45,597 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,597 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,675 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,675 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,775 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,775 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,776 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,776 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,777 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56746]
DEBUG 2026-02-24 09:17:45,777 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56746]
INFO 2026-02-24 09:17:45,778 runserver 56866 124455196194496 HTTP GET /api/v1/messaging/threads/unread_count/ 200 [0.10, 127.0.0.1:56746]
DEBUG 2026-02-24 09:17:45,780 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,780 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,782 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,782 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,785 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56740]
DEBUG 2026-02-24 09:17:45,785 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56740]
INFO 2026-02-24 09:17:45,786 runserver 56866 124455196194496 HTTP GET /api/v1/messaging/threads/ 200 [0.19, 127.0.0.1:56740]
DEBUG 2026-02-24 09:17:45,890 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56694]
DEBUG 2026-02-24 09:17:45,890 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56694]
DEBUG 2026-02-24 09:17:45,890 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56694]
DEBUG 2026-02-24 09:17:45,890 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56694]
DEBUG 2026-02-24 09:17:45,891 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56694]
DEBUG 2026-02-24 09:17:45,891 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56694]
INFO 2026-02-24 09:17:45,891 runserver 56866 124455196194496 HTTP GET /api/v1/rides/trips/ 200 [1.26, 127.0.0.1:56694]
DEBUG 2026-02-24 09:17:52,127 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,127 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 59420]
DEBUG 2026-02-24 09:17:52,149 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 59420]
INFO 2026-02-24 09:17:52,150 runserver 56866 124455196194496 HTTP GET /api/v1/assets/77c2dd60-7373-4dc9-8f48-01f61a32feaa/ 200 [0.02, 127.0.0.1:59420]
DEBUG 2026-02-24 09:17:52,153 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,153 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,174 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,174 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,175 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,175 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,175 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 59428]
DEBUG 2026-02-24 09:17:52,175 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 59428]
INFO 2026-02-24 09:17:52,175 runserver 56866 124455196194496 HTTP GET /api/v1/assets/77c2dd60-7373-4dc9-8f48-01f61a32feaa/ 200 [0.02, 127.0.0.1:59428]
DEBUG 2026-02-24 09:18:00,501 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,501 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 49982]
DEBUG 2026-02-24 09:18:00,546 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 49982]
INFO 2026-02-24 09:18:00,546 runserver 56866 124455196194496 HTTP GET /api/v1/assets/?page=1 200 [0.05, 127.0.0.1:49982]
DEBUG 2026-02-24 09:18:01,980 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:01,980 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 49984]
DEBUG 2026-02-24 09:18:02,011 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 49984]
